Karnataka, Bellary ,Karnataka Central
Karnataka, Chikkamagaluru ,Karnataka Central
Karnataka, Dakshina Kannada ,Karnataka Central
Karnataka, Davanagere ,Karnataka Central
Karnataka, Hassan ,Karnataka Central
Karnataka, Haveri  ,Karnataka Central
Karnataka, Kodagu ,Karnataka Central
Karnataka, Shimoga ,Karnataka Central
Karnataka, Udupi ,Karnataka Central
Karnataka, Uttara Kannada ,Karnataka Central
Karnataka, Bangalore local , Karnataka Local 
Karnataka, Bagalkot , Karnataka North 
Karnataka, Belgaum , Karnataka North 
Karnataka, Bidar , Karnataka North 
Karnataka, Dharwad , Karnataka North 
Karnataka, Gadag , Karnataka North 
Karnataka, Gulbarga , Karnataka North 
Karnataka, Koppal , Karnataka North 
Karnataka, Raichur , Karnataka North 
Karnataka, Vijayapura , Karnataka North 
Karnataka, Yadgir , Karnataka North 
Karnataka, Bangalore Rural , Karnataka South 
Karnataka, Bangalore Urban , Karnataka South 
Karnataka, Chamarajnagar , Karnataka South 
Karnataka, Chikkaballapur , Karnataka South 
Karnataka, Chitradurga , Karnataka South 
Karnataka, Kolar , Karnataka South 
Karnataka, Mandya , Karnataka South 
Karnataka, Mysore , Karnataka South 
Karnataka, Ramanagara , Karnataka South 
Karnataka, Tumkur , Karnataka South 
Uttar Pradesh,Agra,Uttar Pradesh B
Uttar Pradesh,Aligarh,Uttar Pradesh B
Uttar Pradesh,Allahabad,Uttar Pradesh A
Uttar Pradesh,Ambedkar Nagar,Uttar Pradesh A
Uttar Pradesh,Amethi,Uttar Pradesh A
Uttar Pradesh,Auraiya,Uttar Pradesh A
Uttar Pradesh,Azamgarh,Uttar Pradesh A
Uttar Pradesh,Bagpat,Uttar Pradesh B
Uttar Pradesh,Bahraich,Uttar Pradesh D
Uttar Pradesh,Ballia,Uttar Pradesh A
Uttar Pradesh,Balrampur-U,Uttar Pradesh D
Uttar Pradesh,Banda,Uttar Pradesh A
Uttar Pradesh,Barabanki,Uttar Pradesh A
Uttar Pradesh,Bareilly,Uttar Pradesh D
Uttar Pradesh,Basti,Uttar Pradesh D
Uttar Pradesh,Bijnor,Uttar Pradesh B
Uttar Pradesh,Budaun,Uttar Pradesh B
Uttar Pradesh,Bulandshahr,Uttar Pradesh B
Uttar Pradesh,Chandauli,Uttar Pradesh A
Uttar Pradesh,Chitrakoot,Uttar Pradesh A
Uttar Pradesh,Deoria,Uttar Pradesh D
Uttar Pradesh,Etah,Uttar Pradesh B
Uttar Pradesh,Etawah,Uttar Pradesh A
Uttar Pradesh,Faizabad,Uttar Pradesh A
Uttar Pradesh,Farrukhabad,Uttar Pradesh A
Uttar Pradesh,Fatehpur,Uttar Pradesh A
Uttar Pradesh,Firozabad,Uttar Pradesh B
Uttar Pradesh,Gautam Buddh Nagar,Uttar Pradesh B
Uttar Pradesh,Ghaziabad,Uttar Pradesh B
Uttar Pradesh,Ghazipur,Uttar Pradesh A
Uttar Pradesh,Gonda,Uttar Pradesh D
Uttar Pradesh,Gorakhpur,Uttar Pradesh D
Uttar Pradesh,Hamirpur-U,Uttar Pradesh A
Uttar Pradesh,Hapur (Panchsheel Nagar),Uttar Pradesh B
Uttar Pradesh,Hardoi,Uttar Pradesh D
Uttar Pradesh,Hathras (Mahamaya Nagar),Uttar Pradesh B
Uttar Pradesh,Jalaun,Uttar Pradesh A
Uttar Pradesh,Jaunpur,Uttar Pradesh A
Uttar Pradesh,Jhansi,Uttar Pradesh A
Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh B
Uttar Pradesh,Kannauj,Uttar Pradesh A
Uttar Pradesh,Kanpur Dehat (Ramabai Nagar),Uttar Pradesh A
Uttar Pradesh,Kanpur Nagar,Uttar Pradesh A
Uttar Pradesh,Kanshi Ram Nagar,Uttar Pradesh B
Uttar Pradesh,Kaushambi,Uttar Pradesh A
Uttar Pradesh,Kushinagar,Uttar Pradesh D
Uttar Pradesh,Lakhimpur Kheri,Uttar Pradesh D
Uttar Pradesh,Lalitpur,Uttar Pradesh A
Uttar Pradesh,Lucknow,Uttar Pradesh B
Uttar Pradesh,Maharajganj,Uttar Pradesh D
Uttar Pradesh,Mahoba,Uttar Pradesh A
Uttar Pradesh,Mainpuri,Uttar Pradesh B
Uttar Pradesh,Mathura,Uttar Pradesh B
Uttar Pradesh,Mau,Uttar Pradesh A
Uttar pradesh,Meerut,Uttar Pradesh B
Uttar Pradesh,Mirzapur,Uttar Pradesh A
Uttar Pradesh,Moradabad,Uttar Pradesh B
Uttar Pradesh,Muzaffarnagar,Uttar Pradesh B
Uttar Pradesh,Pilibhit,Uttar Pradesh D
Uttar Pradesh,Pratapgarh-U,Uttar Pradesh A
Uttar Pradesh,Raebareli,Uttar Pradesh A
Uttar Pradesh,Rampur,Uttar Pradesh B
Uttar Pradesh,Saharanpur,Uttar Pradesh B
Uttar Pradesh,Sambhal(Bheem Nagar),Uttar Pradesh B
Uttar Pradesh,Sant Kabir Nagar,Uttar Pradesh D
Uttar Pradesh,Sant Ravidas Nagar,Uttar Pradesh A
Uttar pradesh,Shahjahanpur,Uttar Pradesh D
Uttar Pradesh,Shamli,Uttar Pradesh B
Uttar Pradesh,Shravasti,Uttar Pradesh D
Uttar Pradesh,Siddharthnagar,Uttar Pradesh D
Uttar Pradesh,Sitapur,Uttar Pradesh D
Uttar Pradesh,Sonbhadra,Uttar Pradesh A
Uttar Pradesh,Sultanpur,Uttar Pradesh A
Uttar Pradesh,Unnao,Uttar Pradesh A
Uttar Pradesh,Varanasi,Uttar Pradesh A
